,word,counts
0,you,60
1,what,40
2,do,40
3,now,31
4,the,29
5,they,24
6,told,24
7,ya,23
8,that,20
9,i,16
10,won't,16
11,me,16
12,those,16
13,fuck,16
14,tell,16
15,and,14
16,of,13
17,are,12
18,badge,8
19,forces,8
20,wearing,8
21,died,8
22,whites,8
23,burn,8
24,work,8
25,crosses,8
26,some,8
27,chosen,8
28,same,8
29,they're,8
30,under,7
31,control,7
32,you're,7
33,name,5
34,in,5
35,killing,5
36,justify,4
37,justified,4
38,by,4
39,for,4
40,who,4
41,ugh!,3
42,come,2
43,on!,2
44,uh!,2
45,well,1
46,but,1
47,ya!,1
48,motherfucker,1
49,yeah!,1
